intent,precision,recall,f1-score,support,classifier,encoding
maths,0.935483870967742,0.554140127388535,0.696,157.0,LogisticRegression,tfidf
movies,0.8412698412698413,0.4862385321100917,0.6162790697674418,109.0,LogisticRegression,tfidf
music,0.756011315417256,0.9043993231810492,0.8235747303543914,1182.0,LogisticRegression,tfidf
order,0.8531468531468531,0.6161616161616161,0.7155425219941348,198.0,LogisticRegression,tfidf
podcasts,0.986970684039088,0.816711590296496,0.8938053097345133,371.0,LogisticRegression,tfidf
post,0.9383561643835616,0.7653631284916201,0.843076923076923,537.0,LogisticRegression,tfidf
query,0.6539770578595739,0.8796202102407595,0.7501988287180971,5898.0,LogisticRegression,tfidf
querycontact,0.8099173553719008,0.4474885844748858,0.5764705882352942,219.0,LogisticRegression,tfidf
quirky,0.4254215304798962,0.3273453093812375,0.3699943598420755,1002.0,LogisticRegression,tfidf
radio,0.9090909090909092,0.7734806629834254,0.835820895522388,543.0,LogisticRegression,tfidf
recipe,0.9087837837837838,0.6625615763546798,0.7663817663817665,406.0,LogisticRegression,tfidf
remove,0.9809296781883194,0.8441025641025641,0.9073869900771776,975.0,LogisticRegression,tfidf
sendemail,0.6968272620446534,0.8656934306569343,0.7721354166666667,685.0,LogisticRegression,tfidf
set,0.8443181818181819,0.8639534883720931,0.8540229885057472,1720.0,LogisticRegression,tfidf
settings,0.8666666666666667,0.325,0.4727272727272728,80.0,LogisticRegression,tfidf
stock,0.9850746268656716,0.7360594795539034,0.8425531914893616,269.0,LogisticRegression,tfidf
taxi,0.9935483870967742,0.8415300546448088,0.9112426035502958,183.0,LogisticRegression,tfidf
ticket,0.8333333333333334,0.7740585774058577,0.8026030368763558,239.0,LogisticRegression,tfidf
traffic,0.9685534591194968,0.7938144329896907,0.8725212464589234,194.0,LogisticRegression,tfidf
volume_down,0.9166666666666666,0.6027397260273972,0.7272727272727272,73.0,LogisticRegression,tfidf
volume_mute,0.9666666666666668,0.5612903225806452,0.7102040816326531,155.0,LogisticRegression,tfidf
volume_other,0.0,0.0,0.0,24.0,LogisticRegression,tfidf
volume_up,0.7862595419847328,0.7463768115942029,0.7657992565055763,138.0,LogisticRegression,tfidf
wemo_off,0.9125,0.7448979591836735,0.8202247191011237,98.0,LogisticRegression,tfidf
wemo_on,0.9814814814814816,0.6625,0.7910447761194029,80.0,LogisticRegression,tfidf
addcontact,0.684931506849315,0.5617977528089888,0.6172839506172839,89.0,XGBClassifier,tfidf
audiobook,0.8626373626373627,0.6624472573839663,0.7494033412887827,237.0,XGBClassifier,tfidf
cleaning,0.935064935064935,0.8372093023255814,0.8834355828220859,172.0,XGBClassifier,tfidf
coffee,0.949438202247191,0.8578680203045685,0.9013333333333332,197.0,XGBClassifier,tfidf
convert,0.7941176470588235,0.5567010309278351,0.6545454545454544,97.0,XGBClassifier,tfidf
createoradd,0.6170212765957447,0.7918088737201365,0.6935724962630794,293.0,XGBClassifier,tfidf
currency,0.9428571428571428,0.873015873015873,0.9065934065934066,378.0,XGBClassifier,tfidf
definition,0.8405172413793104,0.7959183673469388,0.8176100628930818,490.0,XGBClassifier,tfidf
dislikeness,0.5555555555555556,0.2,0.2941176470588235,25.0,XGBClassifier,tfidf
events,0.6857142857142857,0.5283018867924528,0.5968028419182948,318.0,XGBClassifier,tfidf
factoid,0.6281553398058253,0.6209213051823417,0.6245173745173745,1042.0,XGBClassifier,tfidf
game,0.8277777777777777,0.6422413793103449,0.7233009708737864,232.0,XGBClassifier,tfidf
greet,0.4705882352941176,0.3809523809523809,0.4210526315789473,21.0,XGBClassifier,tfidf
hue_lightchange,0.7543859649122807,0.7713004484304933,0.7627494456762749,223.0,XGBClassifier,tfidf
hue_lightdim,0.7545454545454545,0.664,0.7063829787234043,125.0,XGBClassifier,tfidf
hue_lightoff,0.9063829787234042,0.8693877551020408,0.8875,245.0,XGBClassifier,tfidf
hue_lighton,0.6206896551724138,0.4736842105263157,0.5373134328358208,38.0,XGBClassifier,tfidf
hue_lightup,0.7593984962406015,0.7163120567375887,0.7372262773722628,141.0,XGBClassifier,tfidf
joke,0.9553571428571428,0.8842975206611571,0.9184549356223176,121.0,XGBClassifier,tfidf
likeness,0.6797385620915033,0.52,0.5892351274787535,200.0,XGBClassifier,tfidf
locations,0.7101449275362319,0.57421875,0.6349892008639308,256.0,XGBClassifier,tfidf
maths,0.8653846153846154,0.5732484076433121,0.6896551724137931,157.0,XGBClassifier,tfidf
movies,0.6595744680851063,0.5688073394495413,0.6108374384236452,109.0,XGBClassifier,tfidf
music,0.7808946171341926,0.871404399323181,0.8236705317872851,1182.0,XGBClassifier,tfidf
order,0.7627118644067796,0.6818181818181818,0.7199999999999999,198.0,XGBClassifier,tfidf
podcasts,0.94311377245509,0.8490566037735849,0.8936170212765957,371.0,XGBClassifier,tfidf
post,0.8625498007968128,0.8063314711359404,0.8334937439846006,537.0,XGBClassifier,tfidf
query,0.6896551724137931,0.8036622583926755,0.7423067888184167,5898.0,XGBClassifier,tfidf
querycontact,0.654054054054054,0.5525114155251142,0.599009900990099,219.0,XGBClassifier,tfidf
quirky,0.4631147540983606,0.3383233532934132,0.3910034602076124,1002.0,XGBClassifier,tfidf
radio,0.8848614072494669,0.7642725598526704,0.8201581027667983,543.0,XGBClassifier,tfidf
recipe,0.8450292397660819,0.7118226600985221,0.7727272727272727,406.0,XGBClassifier,tfidf
remove,0.9644495412844036,0.8625641025641025,0.9106659447753114,975.0,XGBClassifier,tfidf
sendemail,0.6802259887005649,0.8788321167883212,0.7668789808917197,685.0,XGBClassifier,tfidf
set,0.8529587567244471,0.8296511627906977,0.8411435307987033,1720.0,XGBClassifier,tfidf
settings,0.6785714285714286,0.475,0.5588235294117648,80.0,XGBClassifier,tfidf
stock,0.9475982532751092,0.8066914498141264,0.8714859437751004,269.0,XGBClassifier,tfidf
taxi,0.9545454545454546,0.918032786885246,0.935933147632312,183.0,XGBClassifier,tfidf
ticket,0.8204081632653061,0.8410041841004184,0.8305785123966942,239.0,XGBClassifier,tfidf
traffic,0.912280701754386,0.8041237113402062,0.8547945205479452,194.0,XGBClassifier,tfidf
volume_down,0.7,0.6712328767123288,0.6853146853146853,73.0,XGBClassifier,tfidf
volume_mute,0.853448275862069,0.6387096774193548,0.7306273062730627,155.0,XGBClassifier,tfidf
volume_other,0.4736842105263157,0.375,0.4186046511627907,24.0,XGBClassifier,tfidf
volume_up,0.8034188034188035,0.6811594202898551,0.7372549019607842,138.0,XGBClassifier,tfidf
wemo_off,0.7314814814814815,0.8061224489795918,0.7669902912621359,98.0,XGBClassifier,tfidf
wemo_on,0.6891891891891891,0.6375,0.6623376623376622,80.0,XGBClassifier,tfidf
